번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
264,유림산업(주),임기현,제조업,경북 경산시,2017-04-17,
265,(주)송산통운,천경아,운수업,광주 광산구,2017-04-17,
266,(주)성남종합건설,전성섭,건설업,경북 성주군,2017-04-17,
267,(주)진현식품,허진현,제조업,경북 영천시,2017-04-17,
268,(주)유니온물산,정상득,기타,경남 김해시,2017-04-17,
269,(주)덕원폴리머,장준호,제조업,경북 성주군,2017-04-17,
270,(주)덕산지에스,박문수,제조업,경북 상주시,2017-04-17,
271,삼양물류(주),정은미,운수업,광주 동구,2017-04-17,
272,(주) 화신산업,최영환,제조업,대구 달서구,2017-04-17,
273,(주)파마피아,신용희,도매및소매업,서울 송파구,2017-04-17,
274,지엠스틸주식회사,김헌태,도매및소매업,경북 구미시,2017-04-17,
275,용마산업(주),김철영,제조업,경남 김해시,2017-04-17,
276,금호전자(주),성기주,제조업,경남 양산시,2017-04-17,
277,(주)용광글로벌,이재호,도매및소매업,경북 포항시,2017-04-17,
278,명문산업,이재일,제조업,대구 서구,2017-04-17,
279,(주)태한건설,박용수,건설업,대구 달서구,2017-04-17,
280,(주)동진비지네스폼,오성일,제조업,서울 금천구,2017-04-18,
281,대진정밀,김만석,제조업,경기 안산시,2017-04-20,
282,유한크린텍,우해연,도매및소매업,경기 화성시,2017-04-20,
283,(주)미래이앤지,함경태,일반서비스업,충북 청주시,2017-04-20,
284,농업회사법인 잠(유),이중오,제조업,전남 진도군,2017-04-20,
285,주식회사 지노아이앤티,최진호,제조업,경기 부천시,2017-04-20,
286,주식회사 이노뷰,전제헌,도매및소매업,경기 고양시,2017-04-20,
287,새벽철강산업(주),양연석,도소매업,경기 시흥시,2017-04-20,
288,기가에스엔아이(주),차승환,제조업,경기 시흥시,2017-04-20,
289,(자)태광레미콘,이인교,제조업,강원 삼척시,2017-04-20,
290,(주)줌애드,고영철,제조업,대전 중구,2017-04-20,
291,(주)삼일실업,유창원,제조업,경기 광주시,2017-04-20,
292,(주)대명렌즈옵티칼,전보환,도매및소매업,대구 북구,2017-04-20,
293,성화개발(주),조승완,건설업,전남 담양군,2017-04-20,
294,보원기계(주),김명만,제조업,인천 남동구,2017-04-20,
295,(주)서울스텐,성원경,도매및소매업,경북 포항시,2017-04-20,
296,(주)디팜스테크,권오근,제조업,경기 의왕시,2017-04-20,
297,(주)팬시마음,김선군,제조업,경기 하남시,2017-04-20,
298,(주)선덕철강,이성미,도매및소매업,대구 북구,2017-04-20,
299,(주)에스앤지,박종열,제조업,경북 포항시,2017-04-20,
300,부강물류(주),류호철,일반서비스업,인천 부평구,2017-04-20,
301,(주)동양기계설비,송성근,건설업,경기 광명시,2017-04-20,
302,(주)삼보텔레콤,이재덕,도매및소매업,경기 평택시,2017-04-20,
303,리빙아트(주),이주희,제조업,충북 청원군,2017-04-20,
304,주식회사 드림아스콘,"박광동,서정윤",제조업,경기 부천시,2017-04-20,
305,(주)에이케이넷,이재룡,기타,경기 부천시,2017-04-20,
306,수림산업(주),오수복,제조업,경기 시흥시,2017-04-20,
307,고려정기,유의식,제조업,대구 북구,2017-04-20,
308,(주)기람,김종성,제조업,광주 광산구,2017-04-20,
309,(주)진주랑,이성태,일반서비스업,경기 성남시,2017-04-20,
310,(주)하바코,임정섭,도매및소매업,경기 하남시,2017-04-20,
311,영원스틸,김차빈,제조업,경기 광주시,2017-04-20,
312,(주)건국정밀,조재용,제조업,충남 아산시,2017-04-20,
313,(주)신우,박종호,제조업,경북 경주시,2017-04-20,
314,(주)대원금속,윤자영,제조업,경기 파주시,2017-04-20,
315,TOP KOREA,박종열,운수업,경기 시흥시,2017-04-21,
316,주식회사한신,홍영수,기타,대전 서구,2017-04-21,
317,(주)진스코인터내셔널,박원호,도매및소매업,부산 중구,2017-04-21,
318,(주)다이코,"김준모, 조영환",지식서비스,부산 강서구,2017-04-21,
319,주식회사 지이플러스,이경용,건설업,부산 부산진구,2017-04-21,
320,봉평메밀에프앤비영농조합법인,변찬수,제조업,강원 평창군,2017-04-21,
321,(주)엠아이케이21,권세환,제조업,경남 창원시,2017-04-21,
322,신명약품(주),구한수,도소매업,부산 해운대구,2017-04-21,
323,주식회사 생생무역,조기형,도소매업,부산 서구,2017-04-21,
324,낙원기업(주),안경미,건설업,강원 강릉시,2017-04-21,
325,(주)엠이에스,노영주,건설업,울산 울주군,2017-04-21,
326,대성정보통신(주),이긍복,도매및소매업,대전 서구,2017-04-21,
327,(주)디지탈지앤티,조명석,도매및소매업,서울 용산구,2017-04-21,
328,(주)대명티에스,권용석,제조업,울산 북구,2017-04-21,
329,씨엔드엠리서치(주),이재인,도매및소매업,서울 서대문구,2017-04-21,
330,(주)수원지관산업,장주현,제조업,경기 화성시,2017-04-21,
331,(주)경동엘리베이터,김태백,건설업,부산 남구,2017-04-21,
332,서창산업(주),최윤묵,도소매업,세종 전의면,2017-04-21,
333,(주)성우,조성만,제조업,경남 거제시,2017-04-21,
334,(주)국인여행사,유창식,기타,제주 제주시,2017-04-21,
335,동아에프앤티(주),정향표,제조업,부산 강서구,2017-04-21,
336,맥스경영컨설팅(주),조윤재,일반서비스업,경기 안양시,2017-04-21,
337,아이언,안승대,제조업,충남 천안시,2017-04-21,
338,(주)젬코프레이션,홍병호,도소매업,부산 해운대구,2017-04-21,
339,아세코코리아(주),신건호,제조업,서울 영등포구,2017-04-21,
340,유한회사 두원건설,윤용현,건설업,전남 담양군,2017-04-22,
341,(주)에스앤에스패션,박혜경,제조업,서울 강동구,2017-04-22,
342,(주)와트로직,강현모,지식서비스,서울 금천구,2017-04-22,
343,유)중앙철강,최한별,도매및소매업,전북 군산시,2017-04-22,
344,혜강종합건설(주),김동근,건설업,경북 구미시,2017-04-22,
345,(주)코리아폴리스쿨,김성원,도매및소매업,서울 강동구,2017-04-22,
346,우진시스템(주),허성규,도매및소매업,대구 북구,2017-04-22,
347,(주)호진건설,서기수,건설업,대구 달성군,2017-04-22,
348,(주)에이치.티.씨,서정완,일반서비스업,서울 마포구,2017-04-22,
349,운경섬유,장미자,도매및소매업,서울 송파구,2017-04-22,
350,(주)A.F.T,이명숙,제조업,대구 달성군,2017-04-22,
351,(주)금강상재,김영덕,제조업,서울 마포구,2017-04-22,
352,평화영농조합법인,김형도,도소매업,전남 무안군,2017-04-22,
353,(주)민스텍스타일,배재민,제조업,대구 달서구,2017-04-22,
354,동남지류유통(주),한영수,도소매업,서울 중구,2017-04-22,
355,(주)다우조경,김규정,건설업,서울 은평구,2017-04-22,
356,중앙약품판매주식회사,김장열,도매및소매업,서울 동대문구,2017-04-22,
357,(주)피니쉬 웰 미디어,박정현,기타,서울 마포구,2017-04-22,
358,더원스틸(주),박노일,제조업,경북 칠곡군,2017-04-22,
359,(주)엠피아이코리아,홍승용,도소매업,서울 관악구,2017-04-22,
360,(유)남북철강,이근홍,제조업,전북 군산시,2017-04-22,
361,(주)안성씨엔에스,김국종,제조업,경북 경주시,2017-04-22,
